date,theme,tag,title,source,impact_direction,notes
2016-02-22,Regulation,REG,Stakeholder Forum to implement the Africa‐EU R&I Partnership on Food and Nutrition Security and Sustainable Agriculture,EC Newsroom — Horizon2020 Environment,+,"The Bureau of the Africa‐EU High-Level Policy Dialogue on Science, Technology and Innovation (HLPD Bureau on STI) is convening a stakeholder forum in Addis Ababa in collaboration with a group of Africa‐EU STI projects and initiatives in support of this policy dialogue.
Link: http://ec.europa.eu/research/index.cfm?pg=events&eventcode=5ECA794C-E4DA-DE16-A999201A1797418B"
2016-03-10,Regulation,REG,Mapping the quality of Europe's inland waters,EC Newsroom — Horizon2020 Environment,+,"Regular monitoring of lakes and rivers is essential for both good water quality and a healthy ecology. An EU-funded project has used satellite imagery to create high-resolution mapping services to help countries better manage their inland waters.
Link: https://ec.europa.eu/newsroom/horizon2020/redirection/item/29676/en"
2016-03-22,Regulation,REG,InfoWeek on 2017 calls for Societal Challenge 2,EC Newsroom — Horizon2020 Environment,+,"Participate in the Brussels InfoWeek on 2017 calls for Horizon 2020 Societal challenge 2 which will take place on 27-29 June 2016. Learn about the calls and topics, update yourselves on relevant past research outcomes and meet partners in the brokerage event.
Link: https://ec.europa.eu/newsroom/horizon2020/redirection/item/29930/en"
2016-04-01,Bioenergy & SAF,BIO,New patented biomass techniques boost sustainability,EC Newsroom — Horizon2020 Environment,+,"An EU-funded project has developed new ways of converting biomass in Brazil into a range of higher value-added products, helping to cut waste, reduce fossil fuel dependence and strengthen sustainable paper-making practices. Several new technologies are now being exploited by project partners and licensed third parties.
Link: https://ec.europa.eu/newsroom/horizon2020/redirection/item/30196/en"
2016-04-12,Regulation,REG,Horizon 2020 Monitoring Report 2014,EC Newsroom — Horizon2020 Environment,+,"For Horizon 2020, the Commission has a legal obligation to monitor continually and systematically its implementation, to report annually and to disseminate the results of this monitoring. 

The first Annual Monitoring Report under Horizon 2020 is a comprehensive publication encompassing the analysis of Horizon 2020 through its calls closed in 2014
Link: https://ec.europa.eu/newsroom/horizon2020/redirection/item/30416/en"
2016-05-12,Regulation,REG,Registration now open for SC2 Info Week 27-29 June 2016,EC Newsroom — Horizon2020 Environment,+,"Registration is now open for the Info Week on Societal Challenge 2 Calls 2017,which will take place on 27-29 June 2016 in Brussels. Registration will close on 10th June, or earlier if the maximum capacity is reached before the closing date.
Link: http://ec.europa.eu/rea/about_us/events/societal_challenge2_info_day_event_2016_en.htm"
2016-05-25,Regulation,REG,Identifying research priorities in bee health and sustainable pollination,EC Newsroom — Horizon2020 Environment,+,"Following EFSA's bee task force work to identify cross-cutting issues, gaps in knowledge, research needs, and provide recommendations for the environmental risk assessment of multiple stressors on bees; an EU Scientific workshop on bee health and pollination was organised on 10/03/2016 to support the identification of areas for possible research under Horizon 2020.
Link: https://ec.europa.eu/newsroom/horizon2020/redirection/item/31629/en"
2016-05-30,Industry & Supply chain,IND,"Conference ""Future of the Forest""",EC Newsroom — Horizon2020 Environment,+,"<p>The Czech Liaison Office for Research, Development and Innovation is holding a conference on ""FUTURE of the FOREST"" on 2 June 2016 in Brussels. Forest and forestry sector face many challenges. Climate variability, both naturally caused and anthropogenic, as well as modern land-use practices and stressors and industry demands create novel conditions never before experienced by ecosystems and relevant stakeholders. </p>
Link: http://ec.europa.eu/research/index.cfm?pg=events&eventcode=6BB29BD8-C90E-B76A-1782DF00A017EC69"
2016-06-13,Regulation,REG,Participate in the public consultation for the 2018-2020 Work Programme of Horizon 2020 Societal Challenge 2,EC Newsroom — Horizon2020 Environment,+,"Food Security, Sustainable Agriculture, Marine, Maritime and Inland Water Research or the Bioeconomy is of interest to you? Then participate in the European Commission's online public consultation. Every citizen, organisation and public authority can have their say and contribute. The consultation is open from 6 June until 28 August.
Link: https://ec.europa.eu/newsroom/horizon2020/redirection/item/32090/en"
2016-06-13,Regulation,REG,ICT Proposers' Day 2016 - Registration open,EC Newsroom — Horizon2020 Environment,+,"ICT Proposers' day 2106 is a networking event promoting European ICT Research & Innovation and focusing on the Horizon 2020 Work Programme for 2016-17. Registration is now open for this event.
Link: https://ec.europa.eu/newsroom/horizon2020/redirection/item/32106/en"
2016-06-16,Regulation,REG,A research roadmap for sustainable land management,EC Newsroom — Horizon2020 Environment,+,"The EU-funded project INSPIRATION aims to develop a European research roadmap on sustainable land management practices. The agenda would help focus Europe's research, supporting policymaking on environmentally friendly, socially acceptable and economically affordable soil and land use management.
Link: https://ec.europa.eu/newsroom/horizon2020/redirection/item/32210/en"
2016-07-19,Regulation,REG,Final paper on a strategic approach to EU agricultural research and innovation,EC Newsroom — Horizon2020 Environment,+,"Developing a long-term research and innovation strategy to address the challenges facing agriculture, rural communites and society at large began in June 2015 at the Milan Expo. Now the process has ended and the final paper is available to download.
Link: https://ec.europa.eu/newsroom/horizon2020/redirection/item/33294/en"
2016-07-25,Regulation,REG,Commission to invest €8.5 billion in research and innovation in 2017,EC Newsroom — Horizon2020 Environment,+,"Today, the European Commission announced an investment of €8.5 billion to be released during 2017 into research and innovation, following an update to the Work Programme of Horizon 2020, the EU's research and innovation funding programme.
Link: https://ec.europa.eu/newsroom/horizon2020/redirection/item/33370/en"
2016-07-28,Climate & Finance,FIN,Horizon 2020: Work Programme update supports competitiveness through open science,EC Newsroom — Horizon2020 Environment,+,"Spanning seven years (2014 to 2020) and working with a budget of €77 billion, Horizon 2020 is the biggest EU research and innovation funding programme ever.
Link: https://ec.europa.eu/newsroom/horizon2020/redirection/item/33447/en"
